f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,target
0,14,11,58,49,210,216,8,8,0,0
26,14,10,75,76,2,4,4,4,0,1
0,7,17,52,34,92,110,8,3,0,0
0,30,38,30,12,80,84,0,0,0,0
0,15,15,75,57,169,191,7,2,0,0
22,7,22,45,62,227,232,4,4,0,0
0,28,7,50,46,166,161,0,0,0,0
6,2,17,53,68,109,146,7,6,0,0
0,31,30,1,0,77,54,0,0,0,0
0,14,13,44,29,176,156,6,1,0,0
0,14,17,85,66,149,142,4,4,0,0
0,14,9,33,11,27,26,1,6,0,0
0,29,31,26,10,93,108,0,0,0,0
25,19,14,45,46,142,166,1,0,0,0
124,14,11,65,78,112,114,4,4,0,0
0,14,12,52,44,222,226,4,4,0,0
0,27,14,43,39,121,102,0,0,0,0
0,33,27,29,7,81,65,4,4,0,0
121,14,19,65,39,31,99,4,4,0,0
32,14,3,81,91,187,175,8,8,0,1
0,14,22,11,3,50,44,4,4,0,0
0,18,12,63,37,31,21,7,7,0,0
0,14,19,24,47,114,103,2,4,0,0
88,14,20,82,83,60,128,4,4,0,1
0,25,11,46,45,120,115,0,0,0,0
13,14,22,77,60,30,51,8,8,0,1
0,20,5,68,36,169,164,0,0,0,0
0,16,8,53,35,179,172,0,2,0,0
0,14,16,73,47,112,114,2,4,0,0
0,34,22,43,18,87,91,2,3,0,0
0,14,21,40,21,142,136,4,4,0,0
0,14,8,71,41,112,114,4,4,0,0
0,14,2,60,32,112,114,4,4,0,0
0,14,25,46,96,39,69,4,4,0,1
29,20,18,53,70,45,45,2,6,0,1
0,24,12,40,19,106,109,0,0,0,0
0,14,12,38,20,220,226,4,4,0,0
1,14,22,44,60,102,91,0,0,0,0
0,32,25,30,14,39,20,0,1,0,0
0,28,11,16,14,44,23,1,0,0,0
0,14,15,24,15,100,92,0,0,0,0
0,14,28,12,14,3,3,4,4,0,0
0,14,10,58,27,216,214,4,4,0,0
0,25,14,20,11,139,125,0,0,0,0
0,11,19,69,75,28,70,4,4,0,0
1,13,7,87,57,216,225,3,3,0,0
0,14,4,77,23,112,114,4,4,0,0
26,4,15,53,55,42,34,7,8,0,1
0,1,18,54,90,10,14,8,8,0,1
8,14,7,76,66,124,135,4,4,0,0
0,2,11,0,10,85,77,7,7,0,0
0,34,17,36,21,113,102,1,0,0,0
0,30,16,49,63,72,63,5,2,0,0
0,27,14,52,27,136,166,0,2,0,0
3,14,3,79,78,208,213,4,4,0,1
13,16,17,81,56,124,172,6,6,0,0
1,14,14,82,51,134,117,8,3,0,0
19,10,22,64,66,101,98,3,7,0,0
0,1,16,59,73,137,145,6,7,0,0
1,14,11,83,68,129,132,7,8,0,0
0,14,24,85,70,112,114,4,4,0,1
0,14,17,39,44,112,114,4,4,0,0
6,14,22,68,49,148,141,4,4,0,0
0,28,19,52,27,152,122,0,5,0,0
19,14,5,56,47,188,203,4,4,0,0
0,14,3,57,38,112,114,2,4,0,0
0,14,18,48,22,135,150,0,4,0,0
96,14,25,81,70,112,114,4,4,0,0
0,14,18,46,15,111,91,4,4,0,0
0,14,12,48,53,101,91,4,2,0,1
7,14,20,81,70,99,96,8,8,0,1
0,14,14,64,87,217,223,4,4,0,1
17,14,16,54,47,112,114,7,4,0,1
21,14,36,86,94,112,114,4,4,0,1
0,33,22,37,27,182,192,0,0,0,0
50,11,15,77,42,180,202,6,2,0,0
0,11,10,62,31,116,151,4,4,0,0
0,14,13,81,62,69,61,8,6,0,0
0,14,10,53,24,61,78,4,6,0,1
1,14,16,76,71,8,16,4,4,0,1
0,14,24,87,94,112,114,4,4,0,1
7,14,12,81,91,103,117,8,8,0,1
0,27,7,52,23,191,171,0,0,0,0
0,14,24,9,5,85,67,7,4,0,0
5,14,7,87,58,204,191,4,4,0,0
0,1,7,76,67,88,84,8,8,0,1
0,16,11,71,45,186,185,1,6,0,0
1,14,13,87,62,204,200,4,4,0,0
0,0,19,77,81,82,103,8,8,0,1
3,14,1,87,38,112,114,4,4,0,0
45,9,10,82,72,217,227,7,2,0,0
0,14,21,73,84,87,97,8,8,0,0
0,14,14,23,55,62,92,4,3,0,0
0,24,14,77,49,25,28,7,2,0,0
112,14,24,66,67,131,151,7,0,0,0
0,15,12,66,40,93,70,7,2,0,0
0,14,7,67,45,112,114,4,4,0,0
0,14,13,58,19,98,120,0,4,0,0
2,6,26,77,86,127,111,6,8,0,1
0,16,10,52,22,64,68,7,3,0,0
0,14,15,40,27,110,115,4,4,0,0
15,14,28,85,93,112,114,4,4,0,1
3,14,14,56,47,171,158,4,4,0,0
1,22,10,71,36,103,96,6,3,0,0
22,0,3,88,82,119,112,8,7,0,1
0,14,16,52,47,143,114,5,4,0,0
0,14,22,68,46,175,163,7,6,0,0
68,14,17,87,32,56,65,4,4,0,0
0,25,24,21,11,174,155,0,0,0,0
13,14,19,55,21,56,64,4,4,0,0
8,7,13,70,59,197,198,8,5,0,0
0,14,25,48,18,192,189,4,4,0,0
1,15,15,66,38,105,122,7,6,0,0
0,26,11,55,55,113,104,2,0,0,0
0,29,17,20,14,104,87,1,0,0,0
0,1,10,85,88,56,45,4,4,0,1
0,14,19,13,11,128,126,4,0,0,0
0,26,13,40,16,208,206,1,2,0,0
0,34,23,44,49,116,106,0,0,0,0
22,18,11,62,49,203,210,5,3,0,1
15,14,21,58,33,21,41,4,8,0,0
0,14,25,59,33,75,45,4,4,0,0
0,14,17,52,28,105,118,4,4,0,0
6,14,12,79,42,139,163,8,6,0,0
0,14,21,17,40,134,140,4,4,0,0
0,33,18,41,19,153,165,0,0,0,0
6,14,18,69,80,227,232,8,8,0,1
0,25,11,50,54,67,50,0,1,0,1
0,19,4,45,36,110,113,0,0,0,0
44,1,34,71,68,45,82,7,6,0,1
3,14,11,67,40,112,114,4,4,0,0
0,14,16,66,49,112,114,0,2,0,0
0,14,15,76,59,52,52,8,2,0,0
3,13,17,61,52,169,183,7,5,0,0
0,2,9,70,71,85,96,7,7,0,0
0,14,5,65,39,227,232,0,0,0,0
0,14,9,84,94,112,114,4,4,0,1
0,13,25,61,13,48,45,7,6,0,0
0,14,20,4,1,29,22,0,0,0,0
0,17,26,21,23,14,12,6,6,0,0
0,14,17,38,19,136,107,5,8,0,1
28,14,13,54,77,70,106,4,2,0,1
143,6,26,77,56,0,0,7,7,0,1
0,21,5,50,16,159,149,7,2,0,0
13,22,24,51,46,51,124,7,6,0,0
0,27,22,51,61,107,79,0,0,0,0
4,27,18,37,10,98,95,8,6,0,0
3,14,9,88,52,222,229,4,4,0,0
99,19,22,79,85,15,66,4,4,0,1
0,14,18,0,0,126,100,4,4,0,0
0,19,12,54,36,98,80,4,4,0,0
0,30,17,62,52,189,182,0,6,0,0
0,14,0,88,93,112,114,4,4,0,1
0,14,13,79,62,112,114,4,4,0,0
19,8,25,69,55,185,192,6,7,0,0
127,14,18,58,59,55,52,6,7,0,1
13,14,20,68,31,14,22,1,4,0,0
0,33,15,41,33,203,210,0,6,0,0
0,14,6,15,15,129,123,3,6,0,0
0,23,14,45,27,92,77,7,0,0,1
0,14,23,26,20,102,101,4,4,0,0
0,14,13,48,31,112,114,7,8,0,0
12,15,21,69,60,66,66,7,5,0,1
1,15,9,51,54,67,55,6,3,0,0
0,13,13,62,40,23,23,7,6,0,0
4,14,5,56,47,112,114,4,4,0,0
0,14,5,84,51,151,142,4,4,0,1
41,14,31,70,68,57,71,7,4,0,1
28,7,15,63,62,131,148,7,7,0,1
68,14,28,79,93,108,148,4,4,0,1
5,8,20,50,48,144,163,1,4,0,0
8,5,6,71,54,196,200,7,7,0,0
0,0,11,59,59,124,135,7,6,0,0
5,14,32,42,40,1,4,1,5,0,0
0,14,22,82,66,69,61,4,4,0,0
13,0,15,75,70,98,92,8,7,0,1
1,19,25,35,33,101,128,6,3,0,0
86,7,15,72,66,29,27,7,7,0,1
0,14,18,71,73,86,86,4,4,0,1
18,14,9,57,59,156,148,4,4,0,0
3,29,29,48,24,110,187,4,4,0,0
0,14,22,49,21,61,38,4,4,0,0
0,14,15,70,58,29,34,8,8,0,1
1,32,11,55,25,212,212,0,0,0,0
0,14,29,51,73,12,3,3,1,0,0
0,19,3,71,32,184,177,0,0,0,0
64,5,22,64,85,2,1,6,8,0,1
0,21,9,69,40,179,190,0,1,0,0
29,18,43,53,62,17,95,8,8,0,0
0,14,14,49,33,112,114,4,4,0,0
0,14,14,21,18,129,98,4,4,0,0
0,33,14,36,43,82,85,0,0,0,0
0,2,15,49,83,84,64,6,8,0,1
0,22,17,32,37,147,163,0,1,0,0
0,19,16,66,40,191,187,0,4,0,0
0,19,5,48,39,171,177,0,3,0,0
3,26,22,41,40,111,75,0,7,0,1
137,10,16,64,53,182,197,8,2,0,1
39,14,19,74,63,10,28,4,4,0,0
1,19,20,52,51,103,136,7,7,0,0
0,35,17,53,28,84,59,0,0,0,1
78,14,18,79,8,112,114,4,4,0,0
22,24,15,51,51,165,209,8,3,0,0
1,22,10,73,68,206,211,0,0,0,0
0,14,18,17,8,112,114,4,4,0,0
21,14,12,88,88,105,84,8,6,0,1
0,14,8,52,47,117,86,0,4,0,0
0,11,20,52,48,142,157,7,2,0,0
0,14,21,33,21,128,117,0,2,0,0
0,14,10,87,76,186,169,4,4,0,1
17,14,29,77,69,112,192,8,3,0,1
0,14,27,1,5,112,114,4,4,0,0
0,33,24,43,6,41,47,2,1,0,0
1,14,14,43,29,28,22,0,0,0,0
0,32,18,29,12,47,42,5,2,0,0
0,14,22,67,35,152,160,4,4,0,0
0,14,6,59,50,112,114,4,4,0,0
94,14,34,88,96,170,191,4,4,0,1
1,14,16,73,47,112,114,8,4,0,1
0,20,11,50,38,202,198,0,0,0,0
0,21,17,49,62,122,141,7,7,0,0
1,14,12,68,58,74,64,4,4,0,0
0,10,10,39,43,156,169,7,7,0,0
0,14,21,25,9,161,156,0,0,0,0
0,14,18,35,62,148,141,4,4,0,0
49,7,10,78,53,214,226,1,4,0,0
0,14,16,43,51,112,114,0,0,0,0
0,17,6,55,57,118,109,6,6,0,0
0,14,9,86,68,164,154,0,3,0,0
0,31,22,59,28,165,159,6,4,0,0
0,14,6,57,78,57,65,8,0,0,1
1,14,31,81,83,21,2,4,4,0,1
0,14,18,54,61,138,147,4,4,0,0
0,14,22,48,68,89,70,8,2,0,1
0,14,1,77,54,144,149,4,4,0,0
0,14,23,44,24,95,72,4,4,0,0
0,14,16,43,16,138,113,4,4,0,0
91,0,8,87,88,108,111,8,8,0,1
0,6,17,57,55,116,111,6,6,0,0
1,14,11,57,33,60,40,4,4,0,0
0,29,13,36,17,121,107,0,0,0,0
0,23,12,18,40,108,104,1,1,0,0
0,13,4,52,50,146,123,2,1,0,0
0,9,13,65,48,192,200,7,1,0,0
0,14,4,72,54,214,220,4,4,0,0
0,14,17,61,58,167,152,4,4,0,0
62,14,12,77,84,9,14,4,4,0,1
0,14,11,61,41,124,126,4,4,0,0
0,14,5,34,44,139,149,4,7,0,0
0,0,31,70,81,134,130,7,8,0,1
0,18,17,88,62,209,209,0,7,0,0
30,7,17,73,66,22,65,7,6,0,1
5,14,20,81,86,112,114,4,4,0,1
21,35,20,71,67,135,163,7,7,0,0
0,14,26,58,58,23,3,4,4,0,0
0,14,15,45,47,110,77,0,4,0,0
33,14,18,87,74,31,25,8,8,0,0
0,17,22,61,27,99,117,0,5,0,0
128,14,7,76,33,177,170,4,4,0,0
0,28,10,49,50,125,106,1,0,0,0
0,22,4,68,37,182,169,0,0,0,0
0,14,13,60,63,124,109,5,4,0,0
1,14,28,77,77,42,40,5,8,0,1
77,14,20,55,87,128,172,4,7,0,1
0,14,16,52,47,112,114,1,4,0,0
1,14,11,55,76,112,114,4,4,0,0
106,14,17,76,47,16,10,8,4,0,1
0,3,37,9,11,26,26,7,7,0,1
16,19,25,46,46,134,159,4,4,0,0
0,14,9,61,66,35,28,4,4,0,0
0,33,11,16,8,48,46,0,0,0,0
0,23,17,39,37,110,121,2,6,0,0
0,32,15,37,41,69,79,0,6,0,0
0,14,20,70,64,109,102,4,4,0,0
0,21,10,49,25,197,197,0,0,0,0
0,33,17,58,50,60,57,2,2,0,0
0,14,13,23,18,92,82,0,5,0,0
1,7,22,62,55,121,150,5,7,0,0
0,14,20,52,58,23,35,4,4,0,0
1,14,18,53,44,2,4,7,6,0,1
26,14,18,82,73,37,21,6,5,0,0
0,22,11,52,60,61,76,5,3,0,0
0,30,22,51,11,83,52,0,0,0,1
120,0,15,76,57,151,162,8,8,0,1
0,14,14,71,34,114,57,4,4,0,0
0,14,15,64,73,25,29,8,4,0,0
60,11,25,57,44,92,132,6,2,0,0
52,9,10,86,52,132,168,7,1,0,1
0,18,12,41,24,114,96,3,7,0,0
0,14,10,71,32,112,114,4,4,0,0
1,0,16,66,89,25,15,8,7,0,1
1,14,15,40,51,186,207,4,4,0,0
0,14,23,61,86,224,231,4,4,0,1
0,17,20,40,38,53,88,7,2,0,0
0,24,24,49,62,150,128,2,7,0,0
38,14,16,83,81,112,114,8,8,0,1
0,14,8,73,41,192,197,4,4,0,0
0,4,3,88,73,201,208,8,0,0,0
12,30,17,57,39,17,38,5,1,0,0
0,24,22,58,52,92,89,4,4,0,0
4,14,7,56,47,197,209,4,4,0,0
56,30,25,52,34,29,73,1,5,0,0
97,31,26,52,32,50,44,1,1,0,1
0,22,12,34,35,103,104,0,0,0,0
0,14,3,64,39,205,199,7,5,0,0
0,12,24,41,48,177,195,7,7,0,0
0,14,11,64,46,134,153,4,4,0,0
100,5,28,81,80,17,44,8,8,0,1
48,22,16,45,31,124,133,0,1,0,0
0,14,16,64,43,112,114,0,0,0,0
0,14,23,40,26,41,16,4,4,0,0
26,0,8,79,82,149,156,8,7,0,0
0,34,21,54,17,36,48,2,0,0,0
0,14,5,85,66,112,114,1,8,0,0
0,32,12,54,59,48,45,2,0,0,0
7,14,8,60,39,174,170,8,8,0,0
0,31,23,19,14,101,74,4,4,0,0
22,7,24,85,79,149,174,8,6,0,0
0,25,11,48,52,84,95,0,0,0,1
83,2,13,80,73,76,96,7,8,0,0
22,14,8,83,73,78,68,7,8,0,1
1,4,24,61,71,43,46,7,8,0,0
17,14,6,81,73,92,93,8,8,0,1
0,14,22,37,16,37,20,0,7,0,0
96,18,11,67,68,38,25,6,5,0,1
0,15,22,51,18,100,94,3,7,0,0
7,14,16,46,47,112,114,0,4,0,0
0,14,33,33,49,35,42,1,4,0,0
1,14,15,71,61,132,159,4,4,0,1
0,9,18,29,11,51,59,5,7,0,0
0,15,7,64,54,124,131,1,5,0,0
1,16,20,81,43,189,162,7,6,0,0
0,33,19,20,41,46,27,1,0,0,0
0,14,24,63,50,65,62,8,8,0,1
0,28,21,53,46,151,161,4,4,0,0
0,12,16,75,47,65,102,8,4,0,0
15,4,7,70,74,220,223,2,7,0,0
0,22,11,46,33,208,210,0,0,0,0
0,14,15,58,61,147,149,8,4,0,0
0,2,7,70,69,215,220,4,4,0,0
1,14,9,62,35,196,186,4,4,0,0
0,14,11,58,63,83,68,4,4,0,0
0,12,18,77,55,87,100,8,5,0,0
0,12,22,47,42,119,123,6,8,0,0
0,28,29,24,17,63,52,0,0,0,0
3,14,10,57,37,159,144,0,5,0,1
0,21,15,30,25,163,169,2,4,0,0
0,14,10,67,51,118,124,7,6,0,0
1,16,12,45,64,71,73,3,6,0,1
7,16,34,43,52,129,157,3,2,0,0
0,9,16,49,62,70,97,7,1,0,0
0,14,12,42,11,136,131,2,4,0,0
15,4,10,71,63,54,51,7,7,0,0
5,11,17,66,64,88,108,4,4,0,0
0,2,29,62,73,3,2,8,8,0,1
1,16,9,79,43,193,204,0,0,0,0
0,10,22,47,31,75,108,7,7,0,0
0,14,15,57,61,176,160,4,4,0,0
0,14,22,64,22,97,76,4,2,0,1
25,5,6,56,69,213,224,7,6,0,0
0,14,14,52,25,151,146,4,4,0,0
0,14,18,52,48,95,86,4,8,0,0
0,14,13,55,73,205,204,8,7,0,0
0,12,16,70,62,145,138,0,5,0,0
0,14,20,44,30,121,139,4,4,0,0
0,27,14,45,26,105,94,1,2,0,0
22,14,39,58,76,0,0,6,8,0,1
0,34,10,21,18,72,82,0,1,0,0
0,14,14,49,31,129,113,7,0,0,0
10,14,18,44,53,112,114,4,4,0,1
13,14,15,71,81,186,214,4,4,0,1
24,0,24,83,81,80,107,8,8,0,1
0,14,19,38,31,112,114,4,4,0,0
0,35,23,50,27,29,34,3,5,0,1
136,14,4,86,85,112,114,4,4,0,1
0,14,14,59,25,108,108,4,4,0,0
0,14,9,58,27,145,123,1,4,0,0
32,14,15,72,55,112,114,4,4,0,1
5,14,16,84,57,48,51,6,4,0,1
0,26,11,70,48,199,206,0,1,0,0
0,24,15,16,9,99,84,0,1,0,0
0,14,22,75,32,112,114,4,4,0,0
5,23,23,69,51,57,49,6,6,0,0
0,14,4,55,28,177,175,4,4,0,0
0,14,2,79,39,174,165,4,4,0,0
0,26,8,59,60,58,60,2,1,0,0
0,17,13,54,40,66,76,4,4,0,0
8,28,14,55,48,178,198,6,2,0,0
0,14,10,56,47,113,86,4,4,0,0
0,14,19,26,18,133,117,4,4,0,0
0,32,13,63,41,31,37,0,0,0,0
1,1,14,56,47,220,215,4,4,0,0
0,14,5,81,49,152,146,8,0,0,1
0,0,9,87,73,138,163,8,8,0,0
69,14,14,62,67,93,112,8,0,0,0
0,26,15,42,46,104,97,3,1,0,0
119,14,21,88,77,28,35,8,8,0,1
9,14,8,80,63,192,191,4,4,0,0
0,14,15,50,67,81,100,8,8,0,1
0,6,23,50,42,128,139,7,7,0,0
5,14,16,68,75,112,114,7,8,0,1
0,35,12,25,8,79,65,4,4,0,0
0,14,11,53,33,111,126,4,4,0,0
12,14,22,68,77,168,184,8,8,0,1
0,10,13,43,52,90,99,7,5,0,0
0,29,13,38,26,122,141,5,6,0,0
113,14,19,86,86,41,49,8,8,0,1
4,14,13,83,55,161,157,8,4,0,0
3,0,14,59,70,133,147,7,7,0,1
0,0,25,52,71,87,106,8,8,0,1
16,5,7,88,89,226,232,4,4,0,1
0,34,25,23,10,134,115,0,0,0,0
0,14,12,36,20,96,105,0,0,0,0
10,14,22,40,48,139,159,4,4,0,0
0,14,11,37,24,119,129,6,0,0,0
0,14,9,50,13,112,223,0,0,0,0
0,14,26,48,29,1,3,4,4,0,0
0,21,11,57,59,52,62,3,1,0,0
0,24,15,32,28,94,86,0,0,0,0
7,14,22,80,64,82,81,4,4,0,1
0,14,13,60,53,146,131,4,4,0,0
0,29,11,54,49,67,60,2,0,0,1
34,14,23,76,81,30,52,0,8,0,1
0,19,20,50,41,208,211,1,2,0,0
0,14,15,58,40,174,141,4,4,0,0
0,30,13,50,22,99,99,0,1,0,0
0,14,11,44,26,13,15,4,4,0,0
5,14,27,86,93,112,114,4,4,0,1
0,24,17,48,42,35,28,7,8,0,1
0,14,6,71,81,112,114,4,4,0,0
0,14,5,67,31,189,177,4,4,0,0
0,14,15,36,25,114,102,4,4,0,0
0,25,13,48,54,114,101,5,5,0,0
58,13,11,55,68,34,27,6,5,0,0
0,14,16,61,75,108,117,7,5,0,0
0,14,26,13,65,20,49,7,8,0,1
0,14,10,75,30,69,65,4,4,0,0
0,0,8,60,37,75,57,8,8,0,1
0,34,11,36,41,58,59,0,0,0,0
145,14,26,64,62,0,1,4,4,0,1
0,21,8,49,53,134,101,3,6,0,0
0,14,4,63,37,212,217,4,4,0,0
0,4,5,68,57,200,196,5,7,0,0
0,14,6,63,65,155,161,7,7,0,0
0,15,27,71,44,107,118,0,7,0,0
0,16,11,81,50,201,212,0,5,0,0
0,14,11,88,96,112,114,4,4,0,0
0,14,16,56,29,112,114,4,4,0,0
0,32,35,24,17,8,5,0,3,0,0
34,14,6,88,84,97,118,4,4,0,1
0,23,5,38,16,202,197,0,0,0,0
5,14,16,85,61,112,114,8,5,0,0
1,14,9,87,70,192,201,4,4,0,0
0,14,15,66,51,70,82,4,4,0,0
0,14,33,2,4,35,30,4,4,0,0
0,4,23,13,19,4,2,8,6,0,0
0,14,18,42,29,224,226,4,4,0,0
0,34,22,38,18,72,71,1,3,0,0
0,26,9,30,62,81,67,0,0,0,0
2,14,2,87,69,163,183,5,8,0,0
0,14,12,28,19,86,89,0,1,0,0
21,2,9,66,60,137,138,7,7,0,0
1,14,4,44,34,112,114,4,4,0,0
0,14,20,47,46,17,29,4,8,0,0
150,14,25,83,91,80,100,8,8,0,1
0,9,15,70,77,82,79,6,3,0,1
0,14,12,3,12,20,12,5,7,0,0
0,14,13,63,50,126,132,4,4,0,0
0,34,16,17,14,19,10,0,5,0,0
1,14,20,56,78,112,114,4,4,0,0
0,31,14,68,18,50,56,0,2,0,0
0,17,15,52,50,61,71,5,7,0,0
17,14,22,80,57,112,114,4,4,0,1
0,14,22,42,39,81,85,4,7,0,0
13,14,24,67,57,109,131,8,0,0,0
0,14,23,26,7,86,71,2,2,0,0
10,22,14,67,67,96,103,2,5,0,0
4,20,11,66,39,140,141,0,0,0,0
0,14,27,30,17,34,28,4,4,0,0
0,26,17,53,32,52,59,6,4,0,0
0,28,13,20,14,96,101,0,0,0,0
0,14,17,43,27,208,204,4,7,0,0
26,14,20,48,28,98,107,4,5,0,0
0,14,11,63,54,117,143,8,3,0,0
21,5,11,70,81,96,90,7,7,0,1
13,26,19,38,40,226,232,6,6,0,0
0,14,7,61,38,130,98,4,4,0,0
0,14,14,16,10,87,95,4,4,0,0
8,14,22,46,28,100,118,0,0,0,0
6,14,32,63,64,170,207,8,8,0,0
21,14,9,88,95,99,116,4,4,0,1
0,23,22,46,30,224,223,0,0,0,0
0,26,12,58,35,105,91,0,0,0,0
20,14,11,84,68,155,144,8,8,0,0
0,24,12,70,40,161,173,0,5,0,0
149,9,22,66,61,93,86,7,8,0,1
0,2,20,67,77,188,181,7,7,0,1
0,14,11,41,59,63,66,4,4,0,0
0,14,8,82,40,128,101,8,4,0,0
0,14,14,63,43,123,117,4,4,0,0
17,5,39,81,74,161,142,7,7,0,1
47,14,10,88,60,118,112,8,8,0,1
0,14,15,30,19,98,107,4,4,0,0
